Date,Time,Type,Route Name,Distance (km),00:24:41,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
2018-11-11,14:05:12,Running,,10.44,58:40:00,05:37,10.68,774,130,159,,,2018-11-11-140512.gpx
2018-11-09,15:02:35,Running,,12.84,01:14:12,05:47,10.39,954,168,159,,,2018-11-09-150235.gpx
2018-11-04,16:05:00,Running,,13.01,01:15:16,05:47,10.37,967,171,155,,,2018-11-04-160500.gpx
2018-11-01,14:03:58,Running,,12.98,01:14:25,05:44,10.47,960,169,158,,,2018-11-01-140358.gpx
2018-10-27,17:01:36,Running,,13.02,01:12:50,05:36,10.73,967,170,154,,,2018-10-27-170136.gpx
2018-10-19,17:52:32,Running,,10.29,59:18:00,05:46,10.41,764,133,155,,,2018-10-19-175232.gpx
2018-10-14,17:28:56,Running,,12.93,01:10:16,05:26,11.04,953,159,158,,,2018-10-14-172856.gpx
2018-10-12,17:41:58,Running,,12.31,01:09:26,05:38,10.64,903,134,157,,,2018-10-12-174158.gpx
2018-10-06,16:45:02,Cycling,,19.63,01:26:26,04:24,13.63,577,210,79,,,2018-10-06-164502.gpx
2018-09-30,16:52:34,Running,,12.97,01:13:56,05:42,10.52,964,171,156,,,2018-09-30-165234.gpx
2018-09-16,14:55:03,Cycling,,32.61,01:55:15,03:32,16.98,830,462,118,,,2018-09-16-145503.gpx
2018-09-02,17:24:28,Other,,17.65,01:01:28,03:29,17.23,1164,219,77,,,2018-09-02-172428.gpx
2018-09-01,17:06:15,Cycling,,36.89,01:58:39,03:13,18.65,937,491,122,,,2018-09-01-170615.gpx
2018-08-28,18:44:33,Cycling,,28.17,01:27:07,03:06,19.4,685,400,111,,,2018-08-28-184433.gpx
2018-08-25,17:18:32,Cycling,,19.41,01:11:33,03:41,16.28,536,199,124,,,2018-08-25-171832.gpx
2018-08-22,18:25:22,Running,,4.38,33:55:00,07:45,7.75,334,60,138,,,2018-08-22-182522.gpx
2018-08-12,17:37:17,Running,,22.09,02:13:22,06:02,9.94,1652,342,148,,,2018-08-12-173717.gpx
2018-08-08,18:44:59,Running,,15.27,01:19:37,05:13,11.51,1143,241,150,,,2018-08-08-184459.gpx
2018-08-05,10:17:10,Running,,18.7,01:49:19,05:51,10.26,1397,280,150,,,2018-08-05-101710.gpx
2018-08-01,18:20:26,Running,,18.2,01:43:05,05:40,10.59,1355,259,145,,,2018-08-01-182026.gpx
2018-07-31,18:25:24,Other,,16.8,01:07:21,04:01,14.97,1075,202,94,,,2018-07-31-182524.gpx
2018-07-30,18:18:47,Running,,17.87,01:44:00,05:49,10.31,1269,261,141,,TomTom MySports Watch,2018-07-30-181847.gpx
2018-07-27,11:43:03,Running,,12.71,01:14:51,05:53,10.19,893,180,145,,TomTom MySports Watch,2018-07-27-114303.gpx
2018-07-20,08:01:51,Running,,11.01,59:18:00,05:23,11.14,795,85,,,,2018-07-20-080151.gpx
2018-07-18,08:08:39,Running,,11.04,55:41:00,05:03,11.9,801,87,,,,2018-07-18-080839.gpx
2018-07-13,17:43:20,Running,,17.96,01:41:36,05:40,10.6,1271,258,145,,TomTom MySports Watch,2018-07-13-174320.gpx
2018-07-07,16:02:30,Running,,17.85,01:37:40,05:28,10.97,1261,266,149,,TomTom MySports Watch,2018-07-07-160230.gpx
2018-07-03,18:00:05,Running,,18.75,01:41:30,05:25,11.08,1332,300,139,,TomTom MySports Watch,2018-07-03-180005.gpx
2018-06-28,12:24:25,Running,,17.95,01:36:59,05:24,11.1,1261,260,148,,TomTom MySports Watch,2018-06-28-122425.gpx
2018-06-25,18:11:12,Running,,18.72,01:39:27,05:19,11.3,1317,301,142,,TomTom MySports Watch,2018-06-25-181112.gpx
2018-06-21,18:03:18,Running,,14.38,01:15:59,05:17,11.36,1007,211,145,,TomTom MySports Watch,2018-06-21-180318.gpx
2018-06-18,18:17:49,Running,,11.63,01:02:52,05:24,11.1,811,145,141,,TomTom MySports Watch,2018-06-18-181749.gpx
2018-06-16,17:29:00,Running,,14.95,01:19:03,05:17,11.35,1057,243,147,,TomTom MySports Watch,2018-06-16-172900.gpx
2018-06-13,18:50:49,Running,,12.75,01:07:30,05:18,11.34,890,173,147,,TomTom MySports Watch,2018-06-13-185049.gpx
2018-06-11,18:23:11,Running,,15.74,01:22:58,05:16,11.38,1101,209,147,,TomTom MySports Watch,2018-06-11-182311.gpx
2018-06-06,18:44:29,Running,,12.78,01:07:56,05:19,11.29,901,170,143,,TomTom MySports Watch,2018-06-06-184429.gpx
2018-06-03,17:21:51,Running,,17.58,01:33:29,05:19,11.28,1240,235,149,,TomTom MySports Watch,2018-06-03-172151.gpx
2018-05-30,18:48:00,Running,,12.81,01:08:12,05:20,11.27,907,172,147,,TomTom MySports Watch,2018-05-30-184800.gpx
2018-05-27,17:31:09,Running,,21.73,02:03:22,05:41,10.57,1528,343,140,,TomTom MySports Watch,2018-05-27-173109.gpx
2018-05-23,18:13:17,Running,,15.59,01:20:32,05:10,11.62,1078,208,158,,TomTom MySports Watch,2018-05-23-181317.gpx
2018-05-21,18:29:35,Running,,12.79,01:07:03,05:15,11.44,899,168,144,,TomTom MySports Watch,2018-05-21-182935.gpx
2018-05-18,18:38:50,Running,,12.79,01:05:52,05:09,11.66,893,168,147,,TomTom MySports Watch,2018-05-18-183850.gpx
2018-05-15,18:56:19,Running,,12.8,01:05:52,05:09,11.66,889,167,148,,TomTom MySports Watch,2018-05-15-185619.gpx
2018-05-09,18:03:20,Running,,12.76,01:08:31,05:22,11.18,892,170,143,,TomTom MySports Watch,2018-05-09-180320.gpx
2018-05-05,11:43:10,Running,,15.38,01:30:56,05:55,10.15,1098,234,152,,TomTom MySports Watch,2018-05-05-114310.gpx
2018-05-02,18:22:09,Running,,12.77,01:07:59,05:19,11.27,894,174,147,,TomTom MySports Watch,2018-05-02-182209.gpx
2018-04-29,16:53:30,Running,,15,01:25:03,05:40,10.58,1061,245,149,,TomTom MySports Watch,2018-04-29-165330.gpx
2018-04-24,18:17:23,Running,,12.84,01:08:48,05:22,11.2,902,171,143,,TomTom MySports Watch,2018-04-24-181723.gpx
2018-04-21,18:18:13,Running,,12.7,01:07:12,05:18,11.34,893,171,148,,TomTom MySports Watch,2018-04-21-181813.gpx
2018-04-18,18:16:49,Running,,12.84,01:06:56,05:13,11.51,901,172,146,,TomTom MySports Watch,2018-04-18-181649.gpx
2018-04-15,11:32:26,Running,,12.76,01:07:57,05:20,11.26,892,169,154,,TomTom MySports Watch,2018-04-15-113226.gpx
2018-04-13,18:37:12,Running,,12.9,01:07:47,05:15,11.42,908,169,147,,TomTom MySports Watch,2018-04-13-183712.gpx
2018-04-11,18:17:35,Running,,12.82,01:07:10,05:14,11.45,892,173,147,,TomTom MySports Watch,2018-04-11-181735.gpx
2018-04-08,11:41:49,Running,,16.48,01:31:35,05:33,10.8,1158,236,164,,TomTom MySports Watch,2018-04-08-114149.gpx
2018-04-06,18:01:30,Running,,12.75,01:10:54,05:34,10.79,900,170,154,,TomTom MySports Watch,2018-04-06-180130.gpx
2018-04-03,18:43:05,Running,,8.32,46:53:00,05:38,10.65,582,135,143,,TomTom MySports Watch,2018-04-03-184305.gpx
2018-03-26,18:33:12,Running,,11.82,01:05:28,05:32,10.83,841,202,150,,TomTom MySports Watch,2018-03-26-183312.gpx
2018-03-21,18:57:05,Running,,6.4,37:41:00,05:53,10.19,458,116,137,,TomTom MySports Watch,2018-03-21-185705.gpx
2018-03-18,18:14:45,Running,,10.36,01:00:17,05:49,10.31,738,188,147,,TomTom MySports Watch,2018-03-18-181445.gpx
2018-03-15,18:31:35,Running,,10.15,58:40:00,05:47,10.38,719,182,149,,TomTom MySports Watch,2018-03-15-183135.gpx
2018-02-19,18:28:16,Running,,10.42,01:00:10,05:46,10.39,742,174,143,,TomTom MySports Watch,2018-02-19-182816.gpx
2018-02-15,19:11:33,Running,,10.27,01:00:19,05:52,10.22,730,174,146,,TomTom MySports Watch,2018-02-15-191133.gpx
2018-02-13,18:27:44,Running,,10.6,01:01:20,05:47,10.37,750,179,146,,TomTom MySports Watch,2018-02-13-182744.gpx
2018-02-04,17:47:37,Running,,10.08,58:57:00,05:51,10.26,713,175,141,,TomTom MySports Watch,2018-02-04-174737.gpx
2018-01-28,13:23:30,Running,,13,01:13:42,05:40,10.59,910,174,152,,TomTom MySports Watch,2018-01-28-132330.gpx
